process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
12.0,1.0,9,11,1.0,2.75,2.1875,2.5833333333333335,1.4722222222222223,interactive,420000032,Round Robin,0.0969193347392638,0.1262443266042423,0.08720420683610867,0.2848080676642811,0.8056640625
12.0,1.2,8.5,8.916666666666666,1.0,3.5,2.4166666666666665,2.3333333333333335,1.5392156862745099,interactive,420000033,SJF,0.12113602236835293,0.054226912229423184,0.10229455441212504,0.254916277258567,0.8110599078341014
12.0,1.3333333333333333,8.083333333333334,9.409722222222221,1.0,3.4166666666666665,1.4097222222222223,2.1666666666666665,1.3917525773195876,interactive,420000034,SJF,0.18158465831081982,0.05937471757605785,0.10220396894532424,0.25346191889218594,0.835820895522388
12.0,1.0,10.583333333333334,12.909722222222221,1.0,2.1666666666666665,1.9722222222222223,3,1.4330708661417322,interactive,420000035,SJF,0.07070349637827907,0.02914110429447853,0.0802640722724114,0.31414532480964075,0.7891104294478528
12.0,0.9230769230769231,10.166666666666666,11.63888888888889,1.0,2.5,1.4166666666666667,2.9166666666666665,1.4098360655737705,interactive,420000036,Round Robin,0.12839763732206938,0.17312091295685506,0.08484005563282336,0.2983471074380165,0.8004115226337449
12.0,1.0,9.5,10.916666666666666,1.0,3,2.6666666666666665,2.9166666666666665,1.5701754385964912,interactive,420000037,Round Robin,0.14249282994312154,0.2158893280632411,0.11051829268292684,0.3051055714078005,0.7974308300395256
12.0,1.5,8.083333333333334,16.57638888888889,1.0,3.4166666666666665,1.2430555555555556,2.5,1.6082474226804124,interactive,420000038,Round Robin,0.10285705462181566,0.11658031088082903,0.07053005357526636,0.3037329475397144,0.8199481865284974
12.0,1.0909090909090908,7.75,10.854166666666666,1.0,2.9166666666666665,2.076388888888889,2.4166666666666665,1.6021505376344085,interactive,420000039,SJF,0.06738664535407578,0.029620853080568717,0.08095010476608801,0.3028030663806998,0.8033175355450237
12.0,0.8571428571428571,9.583333333333334,12.909722222222221,1.0,3.6666666666666665,1.8888888888888888,2.75,1.2608695652173914,interactive,420000040,Round Robin,0.12405497951253294,0.09637766192793801,0.08590308370044053,0.26331719128329295,0.8231441048034935
12.0,1.5,9.5,9.916666666666666,1.0,3,2,2.9166666666666665,1.8245614035087718,interactive,420000041,Round Robin,0.08679319597272481,0.06466879681165397,0.05930138099106416,0.3222895753549186,0.7780303030303031
12.0,1.0,10.333333333333334,12.88888888888889,1.0,2.9166666666666665,2.9097222222222223,3.0833333333333335,1.596774193548387,interactive,420000042,SJF,0.10259153782622679,0.04979312373493137,0.08863257405514328,0.2733630006357279,0.8003194888178914
12.0,0.8571428571428571,9.25,4.1875,1.0,2.8333333333333335,2.4722222222222223,2.9166666666666665,1.6666666666666667,interactive,420000043,SJF,0.12583151367736345,0.06818181818181818,0.12824428535890986,0.27941176470588236,0.7968227424749164
12.0,0.75,8.333333333333334,15.055555555555555,1.0,2.8333333333333335,1.8055555555555556,2.3333333333333335,1.46,interactive,420000044,SJF,0.15145493042952207,0.027894736842105264,0.10738354506957049,0.26044529961517315,0.8275862068965518
12.0,0.8,8.333333333333334,11.88888888888889,1.0,3.0833333333333335,1.4097222222222223,2.4166666666666665,1.51,interactive,420000045,Round Robin,0.0929774133760563,0.09768462827013231,0.04938271604938271,0.3172892829355307,0.8263358778625953
12.0,0.8571428571428571,8.333333333333334,13.055555555555555,1.0,2.5,1.9166666666666667,2.6666666666666665,1.64,interactive,420000046,Round Robin,0.16685874085297056,0.27797406230040156,0.0887740757706554,0.33299779230957927,0.830223880597015
12.0,0.6666666666666666,9,18,1.0,4.25,1.3541666666666667,2.5,1.4259259259259258,interactive,420000047,Round Robin,0.11097490475050935,0.12179759523558872,0.06371927724511314,0.28495440729483285,0.9057971014492754
12.0,1.3333333333333333,9.666666666666666,6.388888888888889,1.0,2.8333333333333335,2.3055555555555554,2.3333333333333335,1.0948275862068966,interactive,420000048,Round Robin,0.142133813711122,0.13017525647288716,0.08426966292134833,0.2748058671268335,0.7509057971014492
