profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
mixed,20264000006,Round Robin,Round Robin,1,0.0,0.06066700007067993,0.17285128527797464,0.15458333333333332,0.10404339250493098,0.3138726758017623,0.7733333333333333,130,138,135,134,289,0,0,0,0,154
mixed,20264000007,Round Robin,SJF,0,0.00010664572312832354,0.05995899982735864,0.4729054112741579,0.16005288228226813,0.1599462365591398,0.4217270869547909,0.7687999999999999,177,172,170,192,359,0,0,0,0,187
mixed,20264000008,SJF,Round Robin,0,0.006090683610756237,0.20350000022517634,0.30091033280965024,0.14322672253258847,0.1493174061433447,0.4341118646690758,0.7653333333333333,132,126,124,143,270,0,0,0,0,144
mixed,20264000009,Round Robin,Round Robin,1,0.0,0.12379200006762403,0.3487549562496683,0.2105513307984791,0.13330078125,0.32260145878350016,0.7685361216730038,174,182,161,184,348,0,0,0,0,187
mixed,20264000010,Round Robin,Round Robin,1,0.0,0.09254099995814613,0.3507637395596368,0.15377842531011113,0.14188596491228073,0.34818198800605443,0.7627164502164503,208,194,187,221,390,0,0,0,0,201
mixed,20264000011,Round Robin,SJF,0,0.033404902298406314,0.06616700011363719,0.4898896498765518,0.16214470284237728,0.12873980054397097,0.4140729017675885,0.7548449612403101,233,223,219,242,465,0,0,0,0,247
mixed,20264000012,Round Robin,Round Robin,1,0.0,0.06624999969062628,0.4085284820861744,0.15171990171990174,0.12210866057019903,0.3898058998219255,0.7567567567567568,161,152,152,186,320,0,0,0,0,165
mixed,20264000013,Round Robin,Round Robin,1,0.0,0.0637499997537816,0.26826873753153047,0.1669921875,0.14007508212106992,0.3573137759316608,0.7587890625,143,156,147,148,330,0,0,0,0,174
mixed,20264000014,SJF,Round Robin,0,0.01942307074471504,0.06341700009215856,0.2833101747735013,0.12143987341772151,0.14086294416243655,0.45016412547426565,0.7693829113924051,123,130,128,136,268,0,0,0,0,134
mixed,20264000015,Round Robin,Round Robin,1,0.0,0.06491599970104289,0.2849030321468937,0.15562913907284767,0.13796650014692918,0.3077431677931237,0.7551508462104488,312,269,271,276,576,0,0,0,0,303
mixed,20264000016,Round Robin,Round Robin,1,0.0,0.15675000031478703,0.3340704859352515,0.14673266808343408,0.13509683514407175,0.40876745534238584,0.7568737270875764,168,156,155,181,340,0,0,0,0,176
mixed,20264000017,SJF,Round Robin,0,0.0050604155519885785,0.13445800004774355,0.3150278531526635,0.11359126984126984,0.11865168539325842,0.4336483297840554,0.7584325396825397,183,162,162,204,373,0,0,0,0,206
mixed,20264000018,Round Robin,Round Robin,1,0.0,0.06849999999758438,0.31929267432921565,0.14951865222623348,0.13856209150326798,0.41057638750354836,0.7614320096269555,186,203,188,216,423,0,0,0,0,220
mixed,20264000019,Round Robin,Round Robin,1,0.0,0.06683300034637796,0.304725617606618,0.1816848002276316,0.12565838976674193,0.3772773693992656,0.7580201649862511,228,198,200,238,420,0,0,0,0,225
mixed,20264000020,Round Robin,Round Robin,1,0.0,0.0637499997537816,0.36152472790962825,0.18350456621004568,0.14217081850533808,0.2713523131672598,0.7617009132420092,242,236,236,236,510,0,0,0,0,274
mixed,20264000021,Round Robin,Round Robin,1,0.0,0.06158299993330729,0.4054335547411901,0.1589127673395319,0.14442700156985872,0.34896640731650796,0.7568460812086875,217,205,196,221,409,0,0,0,0,213
mixed,20264000022,Round Robin,Round Robin,1,0.0,0.06116700023994781,0.3282479220770211,0.11278735632183907,0.11204481792717089,0.4094546623680919,0.7593390804597702,159,158,146,181,305,0,0,0,0,159
mixed,20264000023,Round Robin,Round Robin,1,0.0,0.2767920000223967,0.2549527127920448,0.22503045066991473,0.13690050107372942,0.31652244022450865,0.7679658952496955,202,192,193,203,425,0,0,0,0,223
mixed,20264000024,Round Robin,Round Robin,1,0.0,0.09995799973694375,0.2217900619358854,0.21801346801346802,0.1399132321041215,0.31099260280498936,0.7561728395061729,191,194,192,208,406,0,0,0,0,210
mixed,20264000025,Round Robin,SJF,0,0.09606196341918624,0.06804199983889703,0.34519893776261434,0.13465845464725643,0.03859649122807019,0.4547152944942776,0.767077267637178,135,128,128,145,294,0,0,0,0,166
mixed,20264000026,Round Robin,Round Robin,1,0.0,0.06037499997546547,0.2818719104729147,0.21047331319234638,0.14315209910529939,0.2838953888506538,0.7555387713997985,208,213,199,196,415,0,0,0,0,219
mixed,20264000027,Round Robin,Round Robin,1,0.0,0.05941600011283299,0.3166197094316781,0.21895861148197596,0.13549542379625945,0.3170062524505351,0.7570093457943925,201,182,186,207,381,0,0,0,0,199
mixed,20264000028,Round Robin,Round Robin,1,0.0,0.05945899965809076,0.3908861411435259,0.18124999999999997,0.15499447106524142,0.3492071878020443,0.7559782608695652,225,216,217,238,453,0,0,0,0,233
mixed,20264000029,SJF,Round Robin,0,0.002473409737166976,0.05904199997530668,0.31752849674748285,0.11794019933554817,0.12041360907271514,0.3911849252814476,0.7653654485049834,107,120,110,122,241,0,0,0,0,131
mixed,20264000030,SJF,Round Robin,0,0.003362357125317794,0.058582999827194726,0.29399476811970837,0.13611660079051385,0.13947895791583165,0.3696663388505406,0.7613636363636364,182,198,190,198,413,0,0,0,0,224
mixed,20264000031,Round Robin,Round Robin,1,0.0,0.09904099988489179,0.3784373537002991,0.14311270125223613,0.1301247771836007,0.4431109325501279,0.7567084078711985,146,133,134,153,289,0,0,0,0,150
